Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 10,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 20,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 2,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 30,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 2,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance1IT,super_FilterSuperAttributes,Magic Number,The method contains a magic number: 2,30
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Long Statement,The length of the statement "tester.ie1().insertColumns("id"`"type"`"a0"`"a1"`"a2").values(10`1`"v01"`"allowed_v11"`null).values(15`1`"v01"`"v12"`null).values(20`2`"v02"`null`"v21").exec();" is 160.,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Long Statement,The length of the statement "tester.target("/").get().wasOk().bodyEquals(2`"{\"id\":10`\"a0\":\"v01\"`\"a1\":\"allowed_v11\"`\"type\":1}"`"{\"id\":20`\"a0\":\"v02\"`\"a2\":\"v21\"`\"type\":2}");" is 165.,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Magic Number,The method contains a magic number: 10,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Magic Number,The method contains a magic number: 15,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Magic Number,The method contains a magic number: 20,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Magic Number,The method contains a magic number: 2,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance2IT,super_FilterSubAttributes,Magic Number,The method contains a magic number: 2,31
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Long Statement,The length of the statement "tester.ie1().insertColumns("id"`"type"`"a0"`"a1"`"a2").values(10`1`"v01"`"v11"`null).values(15`1`"allowed_v01"`"v12"`null).values(20`2`"allowed_v02"`null`"v21").values(25`2`"v02"`null`"v22").exec();" is 198.,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Long Statement,The length of the statement "tester.target("/").get().wasOk().bodyEquals(2`"{\"id\":15`\"a0\":\"allowed_v01\"`\"a1\":\"v12\"`\"type\":1}"`"{\"id\":20`\"a0\":\"allowed_v02\"`\"a2\":\"v21\"`\"type\":2}");" is 173.,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 10,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 15,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 20,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 2,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 25,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 2,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance3IT,super_FilterSuperAttributesAtSub,Magic Number,The method contains a magic number: 2,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Long Statement,The length of the statement "tester.ie1().insertColumns("id"`"type"`"a0"`"a1"`"a2").values(10`1`"v01"`"v11"`null).values(15`1`"v01"`"v12"`null).values(20`2`"allowed_v02"`null`"v21").values(25`2`"v02"`null`"v22").exec();" is 190.,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Long Statement,The length of the statement "tester.target("/").get().wasOk().bodyEquals(3`"{\"id\":10`\"a0\":\"v01\"`\"a1\":\"v11\"`\"type\":1}"`"{\"id\":15`\"a0\":\"v01\"`\"a1\":\"v12\"`\"type\":1}"`"{\"id\":20`\"a0\":\"allowed_v02\"`\"a2\":\"v21\"`\"type\":2}");" is 220.,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 10,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 15,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 20,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 2,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 25,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 2,35
agrest,io.agrest.cayenne.GET,ReadFilter_Overlay_Runtime_Inheritance4IT,super_FilterSuperAttributesAtSubIgnoreSuper,Magic Number,The method contains a magic number: 3,35
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Long Statement,The length of the statement "tester.e18().insertColumns("id"`"e17_id1"`"e17_id2"`"name").values(1`1`1`"xxx").values(2`1`1`"yyy").values(3`2`2`"zzz").exec();" is 127.,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Long Statement,The length of the statement "tester.target("/e17/e18s").matrixParam("parentId1"`1).matrixParam("parentId2"`1).get().wasOk().bodyEquals(2`"{\"id\":1`\"name\":\"xxx\"}`{\"id\":2`\"name\":\"yyy\"}");" is 167.,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 3,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,toMany_CompoundId,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Long Statement,The length of the statement "tester.e18().insertColumns("id"`"e17_id1"`"e17_id2"`"name").values(1`1`1`"xxx").values(2`1`1`"yyy").values(3`2`2`"zzz").exec();" is 127.,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Long Statement,The length of the statement "tester.target("/e18/1").queryParam("include"`E18.E17.getName()).get().wasOk().bodyEquals(1`"{\"id\":1`\"e17\":{\"id\":{\"id1\":1`\"id2\":1}`\"id1\":1`\"id2\":1`\"name\":\"aaa\"}`\"name\":\"xxx\"}");" is 198.,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 2,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 2,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 2,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 3,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 2,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne_CompoundId,Magic Number,The method contains a magic number: 2,55
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 2,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 7,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 2,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 8,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 9,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToMany,Magic Number,The method contains a magic number: 2,71
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne,Magic Number,The method contains a magic number: 2,89
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne,Magic Number,The method contains a magic number: 7,89
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne,Magic Number,The method contains a magic number: 2,89
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne,Magic Number,The method contains a magic number: 8,89
agrest,io.agrest.cayenne.GET,RelatedIT,validRel_ToOne,Magic Number,The method contains a magic number: 9,89
agrest,io.agrest.cayenne.GET,RelatedIT,invalidRel,Long Statement,The length of the statement "tester.target("/e2/1/dummyrel").get().wasServerError().bodyEquals("{\"message\":\"Invalid parent relationship: 'dummyrel'\"}");" is 127.,107
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Long Statement,The length of the statement "tester.target("/e12/12/e1213").queryParam("include"`"e12"`"e13").get().wasOk().bodyEquals(1`"{\"id\":{\"db:e12_id\":12`\"db:e13_id\":16}`\"e12\":{\"id\":12}`\"e13\":{\"id\":16}}");" is 180.,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 11,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 12,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 14,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 15,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 16,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 11,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 14,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 12,114
agrest,io.agrest.cayenne.GET,RelatedIT,toManyJoin,Magic Number,The method contains a magic number: 16,114
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 15,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 2,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 35,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 15,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 2,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 2,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 35,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 3,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 15,138
agrest,io.agrest.cayenne.GET,RelatedIT,byParentCompoundDbId,Magic Number,The method contains a magic number: 2,138
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property,Long Statement,The length of the statement "tester.target("/e4/calc_property").queryParam("include"`"id").queryParam("include"`"x").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"id\":1`\"x\":\"y_1\"}`{\"id\":2`\"x\":\"y_2\"}");" is 192.,26
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property,Magic Number,The method contains a magic number: 2,26
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property,Magic Number,The method contains a magic number: 2,26
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property_Exclude,Long Statement,The length of the statement "tester.target("/e4/calc_property").queryParam("include"`"id").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"id\":1}`{\"id\":2}");" is 138.,39
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property_Exclude,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_Property_Exclude,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty,Long Statement,The length of the statement "tester.target("/e3/custom_encoding").queryParam("include"`"name").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"name\":\"_x_\"}`{\"name\":\"_y_\"}");" is 158.,51
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty,Magic Number,The method contains a magic number: 8,51
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty,Magic Number,The method contains a magic number: 2,51
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty_Exclude,Long Statement,The length of the statement "tester.target("/e3/custom_encoding").queryParam("include"`"id").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"id\":1}`{\"id\":2}");" is 140.,65
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty_Exclude,Magic Number,The method contains a magic number: 2,65
agrest,io.agrest.cayenne.GET,Request_EntityAttributeIT,request_ShadowProperty_Exclude,Magic Number,The method contains a magic number: 2,65
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Long Statement,The length of the statement "tester.target("/e3").queryParam("include"`"id"`"name"`"e2.name").get().wasOk().bodyEquals(3`"{\"id\":8`\"e2\":{\"name\":\"xxx\"}`\"name\":\"yyy\"}"`"{\"id\":9`\"e2\":null`\"name\":\"zzz\"}"`"{\"id\":10`\"e2\":{\"name\":\"yyy\"}`\"name\":\"aaa\"}");" is 248.,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 2,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 8,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 9,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 10,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 2,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 3,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentExpResolver,Magic Number,The method contains a magic number: 2,27
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Long Statement,The length of the statement "tester.e3().insertColumns("id_"`"name"`"e2_id").values(8`"yyy"`1).values(9`"zzz"`null).values(10`"aaa"`2).values(11`"bbb"`2).values(12`"ccc"`2).exec();" is 151.,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Long Statement,The length of the statement "tester.target("/e3").queryParam("include"`"id"`"name"`"e2.name").queryParam("start"`1).queryParam("limit"`2).get().wasOk().bodyEquals(5`"{\"id\":9`\"e2\":null`\"name\":\"zzz\"}"`"{\"id\":10`\"e2\":{\"name\":\"yyy\"}`\"name\":\"aaa\"}");" is 236.,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 2,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 8,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 9,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 10,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 2,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 11,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 2,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 12,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 2,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 2,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 5,53
agrest,io.agrest.cayenne.GET,Resolvers_AutoDetectIT,viaParentIdsResolver,Magic Number,The method contains a magic number: 3,53
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Long Statement,The length of the statement "tester.e3().insertColumns("id_"`"name"`"e5_id"`"e2_id").values(34`"e3_1"`1`2).values(11`"e3_2"`2`null).values(13`"e3_3"`3`1).exec();" is 132.,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 34,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 11,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 13,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2L,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3L,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 2L,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3L,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,loadData,Magic Number,The method contains a magic number: 3,39
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Long Statement,The length of the statement "return Stream.of(Arguments.of(Overlay.joint`Overlay.parentExp`2)`Arguments.of(Overlay.joint`Overlay.parentId`2)`Arguments.of(Overlay.parentExp`Overlay.parentId`3)`Arguments.of(Overlay.parentExp`Overlay.joint`2)`Arguments.of(Overlay.parentId`Overlay.joint`2)`Arguments.of(Overlay.parentId`Overlay.parentExp`3)`Arguments.of(Overlay.joint`Overlay.joint`1)`Arguments.of(Overlay.parentExp`Overlay.parentExp`3)`Arguments.of(Overlay.parentId`Overlay.parentId`3));" is 456.,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,provideTestInputs,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,toManyToOne,Long Statement,The length of the statement "tester.target("/tomany_toone").queryParam("include"`"id").queryParam("include"`"e3s.name").queryParam("include"`"e3s.e2.name").queryParam("exp"`"id < 3").queryParam("sort"`"id").queryParam("o1"`o1).queryParam("o2"`o2).get().wasOk().bodyEquals(2`"{\"id\":1`\"e3s\":[{\"e2\":{\"name\":\"e2_2\"}`\"name\":\"e3_1\"}]}"`"{\"id\":2`\"e3s\":[{\"e2\":null`\"name\":\"e3_2\"}]}");" is 371.,90
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,toManyToOne,Magic Number,The method contains a magic number: 2,90
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,toOneToMany,Long Statement,The length of the statement "tester.target("/toone_tomany").queryParam("include"`"id").queryParam("include"`"e5.name").queryParam("include"`"e5.e15s.name").queryParam("exp"`"id < 30").queryParam("sort"`"id").queryParam("o1"`o1).queryParam("o2"`o2).get().wasOk().bodyEquals(2`"{\"id\":11`\"e5\":{\"e15s\":[]`\"name\":\"e5_2\"}}"`"{\"id\":13`\"e5\":{\"e15s\":[{\"name\":\"e15_2\"}`{\"name\":\"e15_3\"}]`\"name\":\"e5_3\"}}");" is 394.,111
agrest,io.agrest.cayenne.GET,Resolvers_CombinationsIT,toOneToMany,Magic Number,The method contains a magic number: 2,111
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Long Statement,The length of the statement "tester.e3().insertColumns("id_"`"name"`"e5_id"`"e2_id").values(34`"e3_1"`1`2).values(11`"e3_2"`2`null).values(13`"e3_3"`3`1).exec();" is 132.,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Long Statement,The length of the statement "tester.target("/test_alt_resolver__parentids_joint_prefetch").queryParam("include"`"id").queryParam("include"`"e3s.name").queryParam("include"`"e3s.e2.name").queryParam("exp"`"id < 3").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"id\":1`\"e3s\":[{\"e2\":{\"name\":\"e2_2\"}`\"name\":\"e3_1\"}]}"`"{\"id\":2`\"e3s\":[{\"e2\":null`\"name\":\"e3_2\"}]}");" is 362.,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 3,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 34,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 11,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 13,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 3,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_resolver__parentids_joint_prefetch,Magic Number,The method contains a magic number: 2,37
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Long Statement,The length of the statement "tester.target("/test_mix_up_relations").queryParam("include"`"id").queryParam("include"`"e3s.name").queryParam("include"`"e3s.ex.name").queryParam("exp"`"id < 3").queryParam("sort"`"id").get().wasOk().bodyEquals(2`"{\"id\":1`\"e3s\":[{\"ex\":{\"name\":\"e3_2\"}`\"name\":\"e2_2\"}]}"`"{\"id\":2`\"e3s\":[]}");" is 309.,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 3,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 2,70
agrest,io.agrest.cayenne.GET,Resolvers_MixedIT,alt_mix_up_relations,Magic Number,The method contains a magic number: 4,70
agrest,io.agrest.cayenne.GET,Resolvers_PojoToPersistentIT,fail,Long Statement,The length of the statement "tester.target("/px1").queryParam("overlay"`overlay).queryParam("include"`"e25").get().wasServerError().bodyEquals("{\"message\":\"Entity 'PX1' is not mapped in Cayenne` so its relationship 'e25' can't be resolved with a Cayenne resolver\"}");" is 242.,34
